1 BHK Flat,2 BHK Flat,3 BHK Flat,50 sq.yd Plot,55 sq.yd Plot,58 sq.yd Plot,60 sq.yd Plot,70 sq.yd Plot,83 sq.yd Plot,90 sq.yd Plot,92 sq.yd Plot,100 sq.yd Plot,105 sq.yd Plot,128 sq.yd Plot,133 sq.yd Plot,135 sq.yd Plot,143 sq.yd Plot,145 sq.yd Plot,150 sq.yd Plot,200 sq.yd Plot,450 sq.ft Plot,477 sq.ft Plot,630 sq.ft Plot,675 sq.ft Plot,693 sq.ft Plot,900 sq.ft Plot,1188 sq.ft Plot,1215 sq.ft Plot,1251 sq.ft Plot,1269 sq.ft Plot,1323 sq.ft Plot,1332 sq.ft Plot,1350 sq.ft Plot,1395 sq.ft Plot,1449 sq.ft Plot,1485 sq.ft Plot,1611 sq.ft Plot,1800 sq.ft Plot,2205 sq.ft Plot,4680 sq.ft Plot,Studio Apartment,property_title,avg_price,possession,seller_label,seller_subtitle,project,single_price,builtup_area
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹5.25 L,NA,NA,₹5.24 L,₹8.09 L,₹10.5 L,NA,₹14.78 L,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,1 RK Flat in Sector 90,₹5.0k/sq.ft,NA,NA,NA,NA,₹10.0L,200 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹5.25 L,NA,NA,₹5.24 L,₹8.09 L,₹10.5 L,NA,₹14.78 L,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plot in Silani,₹1.11k/sq.ft,NA,NA,NA,NA,₹10.0L,900 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹5.25 L,NA,NA,₹5.24 L,₹8.09 L,₹10.5 L,NA,₹14.78 L,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,1 RK Flat in Sector 108,₹4.57k/sq.ft,NA,NA,NA,NA,₹10.0L,219 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹5.25 L,NA,NA,₹5.24 L,₹8.09 L,₹10.5 L,NA,₹14.78 L,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plot in Maruti Kunj,₹2.0k/sq.ft,NA,NA,NA,NA,₹10.0L,500 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹5.25 L,NA,NA,₹5.24 L,₹8.09 L,₹10.5 L,NA,₹14.78 L,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plot in Sector 11 Sohna,₹1.04k/sq.ft,NA,NA,NA,NA,₹9.4L,900 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹5.25 L,NA,NA,₹5.24 L,₹8.09 L,₹10.5 L,NA,₹14.78 L,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plot in Sultanpur,₹2.06k/sq.ft,NA,NA,NA,NA,₹9.25L,450 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹2.6 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹5.2 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plots in Bhondsi,₹578.0/sq.ft,NA,NA,NA,Lotus Monarch City,NA,NA
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹2.6 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹5.2 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,1 RK Flat in Sector 37D,₹2.46k/sq.ft,NA,NA,NA,NA,₹8.0L,325 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹2.6 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹5.2 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,1 BHK Flat in Rajoria Nagar,₹1.25k/sq.ft,NA,NA,NA,NA,₹7.5L,600 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹2.6 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹5.2 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,"8 BHK Independent House in Rajiv Nagar, Sector 13",₹1.36k/sq.ft,NA,NA,NA,NA,₹7.5L,550 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹2.6 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹5.2 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,1 RK Flat in Sector 37D,₹2.09k/sq.ft,NA,NA,NA,NA,₹6.8L,325 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹3.25 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹6.5 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plots in Manesar,₹722.0/sq.ft,NA,NA,NA,NS Zenext Avenue,NA,NA
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹3.25 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹6.5 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plot in Dhankot,₹1.0k/sq.ft,NA,NA,NA,NA,₹4.5L,450 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹3.25 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹6.5 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plot in Sultanpur,₹8.5k/sq.yd,NA,NA,NA,NA,₹4.25L,50 sq.yd
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹3.25 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹6.5 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plot in Shahid Smarak,₹648.00/sq.ft,NA,NA,NA,NA,₹3.5L,540 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹3.25 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹6.5 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,"2 BHK Flat in Laxman Vihar, Sector 3A",₹471.00/sq.ft,NA,NA,NA,NA,₹3.3L,700 sq.ft
₹6.97 L - 13.09 L,₹20 L,₹21.56 L,₹7.5 L,₹6.6 L,₹7 L,₹7.2 L,₹8.4 L,₹10 L,₹10.8 L,₹11.1 L,₹15 L,₹12.66 L,₹15.4 L,₹15.96 L,₹16.2 L,₹17.2 L,₹17.48 L,₹18 L,₹23.99 L,₹3.25 L,₹2.76 L,₹3.64 L,₹5.24 L,₹4.01 L,₹6.5 L,₹6.87 L,₹7.02 L,₹9.72 L,₹7.33 L,₹7.65 L,₹7.7 L,₹7.8 L,₹8.06 L,₹8.38 L,₹8.58 L,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,₹10 L,Residential Plot in Patel Nagar,₹944.00/sq.ft,NA,NA,NA,NA,₹1.7L,180 sq.ft
