SNO,FILENAME,TIME_TAKEN,DB_SIZE,AVG_TIME_TAKEN_PER_FILE,AVG_SPACE_TAKEN_PER_FILE
42,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_135.pdf,0.7756,0.2188,0.8338,0.0052
43,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_136.pdf,0.7953,0.2227,0.8329,0.0052
44,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_137.pdf,0.8152,0.2266,0.8325,0.0051
45,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_138.pdf,0.7593,0.2305,0.8309,0.0051
46,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_139.pdf,0.762,0.2344,0.8294,0.0051
47,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_14.pdf,0.8036,0.2383,0.8289,0.0051
48,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_140.pdf,0.7848,0.2422,0.8279,0.005
49,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_141.pdf,0.7944,0.25,0.8273,0.0051
50,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_142.pdf,0.8359,0.2539,0.8274,0.0051
51,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_143.pdf,0.7264,0.2578,0.8254,0.0051
52,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_144.pdf,0.805,0.2617,0.8251,0.005
53,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_145.pdf,0.7654,0.2656,0.8239,0.005
54,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_146.pdf,0.7815,0.2695,0.8231,0.005
