SNO,FILENAME,PAGES,TIME_TAKEN_SEC,CHARS_EXTRACTED,OUTPUT_FILE
1,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1.pdf,5,17.3511,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1.txt
2,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_10.pdf,5,17.5829,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_10.txt
3,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_100.pdf,5,18.4108,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_100.txt
4,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1000.pdf,5,19.0443,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1000.txt
5,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_101.pdf,5,18.2417,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_101.txt
6,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_102.pdf,5,18.6272,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_102.txt
7,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_103.pdf,5,19.8386,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_103.txt
8,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_104.pdf,5,21.0825,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_104.txt
9,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_105.pdf,5,21.9185,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_105.txt
10,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_106.pdf,5,20.2339,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_106.txt
11,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_107.pdf,5,21.7987,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_107.txt
12,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_108.pdf,5,21.0181,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_108.txt
13,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_109.pdf,5,21.5095,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_109.txt
