SNO,FILENAME,PAGES,TIME_TAKEN_SEC,CHARS_EXTRACTED,OUTPUT_FILE
1,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1.pdf,5,26.7753,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1.txt
2,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_10.pdf,5,26.7788,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_10.txt
3,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_100.pdf,5,25.9531,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_100.txt
4,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1000.pdf,5,25.7886,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1000.txt
5,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_101.pdf,5,21.5935,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_101.txt
6,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_102.pdf,5,21.8632,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_102.txt
7,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_103.pdf,5,22.4568,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_103.txt
8,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_104.pdf,5,24.1907,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_104.txt
9,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_105.pdf,5,24.7715,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_105.txt
10,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_106.pdf,5,24.5843,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_106.txt
11,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_107.pdf,5,24.281,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_107.txt
12,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_108.pdf,5,24.9158,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_108.txt
13,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_109.pdf,5,25.4323,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_109.txt
14,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_11.pdf,5,27.8046,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_11.txt
15,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_110.pdf,5,27.7904,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_110.txt
16,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_111.pdf,5,27.0212,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_111.txt
