SNO,FILENAME,TIME_TAKEN,DB_SIZE,AVG_TIME_TAKEN_PER_FILE,AVG_SPACE_TAKEN_PER_FILE
1,input/20260806_1100/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,1.2887,0.0273,1.2887,0.0273
2,input/20260806_1100/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,0.7687,0.0312,1.0287,0.0156
3,input/20260806_1100/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,1.6122,0.0352,1.2232,0.0117
4,input/20260806_1100/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,1.5564,0.0391,1.3065,0.0098
5,input/20260806_1100/AI Contract test/ALD Automotive AG_MSA (2).pdf,5.1889,0.043,2.083,0.0086
6,input/20260806_1100/AI Contract test/ALD Automotive AG_MSA.pdf,4.5702,0.0469,2.4975,0.0078
7,input/20260806_1100/AI Contract test/AUTODATA SOLUTIONS INC_SOW (2).pdf,1.7018,0.0508,2.3838,0.0073
8,input/20260806_1100/AI Contract test/AUTODATA SOLUTIONS INC_SOW.pdf,1.6076,0.0547,2.2868,0.0068
9,input/20260806_1100/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,1.4634,0.0664,2.1953,0.0074
10,input/20260806_1100/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,1.4816,0.0703,2.1239,0.007
