SNO,TIMESTAMP_PROCESSED,RELATIVE_PATH_WINDOWS,RELATIVE_PATH_LINUX,OCR_REQUIRED,OCR_DONE,ENCODING_AND_INGESTION_DONE,#_OF_FILE_PROCESSED
22,2026-08-07 17:39:28,input\20260807_1735\AI Contract test\011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,input/20260807_1735/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,NO,NA,NO,1
23,2026-08-07 17:39:29,input\20260807_1735\AI Contract test\AUTODATA SOLUTIONS INC_SOW (2).pdf,input/20260807_1735/AI Contract test/AUTODATA SOLUTIONS INC_SOW (2).pdf,NO,NA,NO,1
24,2026-08-07 17:39:29,input\20260807_1735\AI Contract test\AUTODATA SOLUTIONS INC_SOW.pdf,input/20260807_1735/AI Contract test/AUTODATA SOLUTIONS INC_SOW.pdf,NO,NA,NO,1
25,2026-08-07 17:39:29,input\20260807_1735\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,input/20260807_1735/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,NO,NA,NO,1
26,2026-08-07 17:39:29,input\20260807_1735\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,input/20260807_1735/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,NO,NA,NO,1
27,2026-08-07 17:40:01,input\20260807_1735\AI Contract test\20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,input/20260807_1735/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,YES,YES,NO,1
28,2026-08-07 17:40:17,input\20260807_1735\AI Contract test\20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,input/20260807_1735/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,YES,YES,NO,1
29,2026-08-07 17:41:10,input\20260807_1735\AI Contract test\ALD Automotive AG_MSA (2).pdf,input/20260807_1735/AI Contract test/ALD Automotive AG_MSA (2).pdf,YES,YES,NO,1
30,2026-08-07 17:42:22,input\20260807_1735\AI Contract test\ALD Automotive AG_MSA.pdf,input/20260807_1735/AI Contract test/ALD Automotive AG_MSA.pdf,YES,YES,NO,1
31,2026-08-07 17:42:40,input\20260807_1735\AI Contract test\011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,input/20260807_1735/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,YES,YES,YES,2
32,2026-08-07 17:42:41,input\20260807_1735\AI Contract test\011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,input/20260807_1735/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,YES,YES,YES,2
33,2026-08-07 17:42:42,input\20260807_1735\AI Contract test\20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,input/20260807_1735/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,YES,YES,YES,2
34,2026-08-07 17:42:44,input\20260807_1735\AI Contract test\20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,input/20260807_1735/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,YES,YES,YES,2
35,2026-08-07 17:42:49,input\20260807_1735\AI Contract test\ALD Automotive AG_MSA (2).pdf,input/20260807_1735/AI Contract test/ALD Automotive AG_MSA (2).pdf,YES,YES,YES,2
36,2026-08-07 17:42:54,input\20260807_1735\AI Contract test\ALD Automotive AG_MSA.pdf,input/20260807_1735/AI Contract test/ALD Automotive AG_MSA.pdf,YES,YES,YES,2
37,2026-08-07 17:42:55,input\20260807_1735\AI Contract test\AUTODATA SOLUTIONS INC_SOW (2).pdf,input/20260807_1735/AI Contract test/AUTODATA SOLUTIONS INC_SOW (2).pdf,YES,YES,YES,2
38,2026-08-07 17:42:57,input\20260807_1735\AI Contract test\AUTODATA SOLUTIONS INC_SOW.pdf,input/20260807_1735/AI Contract test/AUTODATA SOLUTIONS INC_SOW.pdf,YES,YES,YES,2
39,2026-08-07 17:42:59,input\20260807_1735\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,input/20260807_1735/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,YES,YES,YES,2
40,2026-08-07 17:43:00,input\20260807_1735\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,input/20260807_1735/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,YES,YES,YES,2
