SNO,FILENAME,PAGES,TIME_TAKEN_SEC,CHARS_EXTRACTED,OUTPUT_FILE
2001,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1.pdf,5,96.3069,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1.txt
2002,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_10.pdf,5,93.0556,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_10.txt
2003,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_100.pdf,5,93.6222,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_100.txt
2004,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1000.pdf,5,92.1172,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_1000.txt
2005,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_101.pdf,5,131.722,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_101.txt
2006,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_102.pdf,5,137.7819,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_102.txt
2007,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_103.pdf,5,139.1448,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_103.txt
2008,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_104.pdf,5,140.6924,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_104.txt
2009,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_105.pdf,5,141.926,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_105.txt
2010,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_106.pdf,5,142.7139,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_106.txt
2011,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_107.pdf,5,144.1112,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_107.txt
2012,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_108.pdf,5,140.1716,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_108.txt
2013,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_109.pdf,5,127.3356,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_109.txt
2014,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_11.pdf,5,127.0111,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_11.txt
2015,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_110.pdf,5,110.9525,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_110.txt
2016,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_111.pdf,5,132.0787,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_111.txt
2017,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_112.pdf,5,143.651,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_112.txt
2018,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_113.pdf,5,131.3844,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_113.txt
2019,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_114.pdf,5,140.9265,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_114.txt
2020,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_115.pdf,5,139.8176,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_115.txt
2021,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_116.pdf,5,156.8027,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_116.txt
2022,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_117.pdf,5,163.7231,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_117.txt
2023,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_118.pdf,5,163.5757,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_118.txt
2024,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_119.pdf,5,119.8547,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_119.txt
2025,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_12.pdf,5,120.3937,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_12.txt
2026,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_120.pdf,5,154.9173,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_120.txt
2027,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_121.pdf,5,144.0139,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_121.txt
2028,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_122.pdf,5,119.9543,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_122.txt
2029,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_123.pdf,5,121.0314,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_123.txt
2030,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_124.pdf,5,121.9046,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_124.txt
2031,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_125.pdf,5,141.7076,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_125.txt
2032,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_126.pdf,5,104.8636,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_126.txt
2033,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_127.pdf,5,100.7253,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_127.txt
2034,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_128.pdf,5,92.9037,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_128.txt
2035,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_129.pdf,5,89.5524,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_129.txt
2036,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_13.pdf,5,88.769,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_13.txt
2037,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_130.pdf,5,134.9792,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_130.txt
2038,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_131.pdf,5,176.2231,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_131.txt
2039,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_132.pdf,5,169.3463,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_132.txt
2040,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_133.pdf,5,1087.3062,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_133.txt
2041,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_134.pdf,5,136.6392,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_134.txt
2042,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_135.pdf,5,115.0136,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_135.txt
2043,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_136.pdf,5,100.0476,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_136.txt
2044,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_137.pdf,5,181.0633,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_137.txt
2045,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_138.pdf,5,94.7731,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_138.txt
2046,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_139.pdf,5,101.6307,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_139.txt
2047,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_14.pdf,5,122.9292,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_14.txt
2048,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_140.pdf,5,107.4965,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_140.txt
2049,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_141.pdf,5,124.4657,13525,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_141.txt
