SNO,FILENAME,PAGES,TIME_TAKEN_SEC,CHARS_EXTRACTED,OUTPUT_FILE
36,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_141.pdf,5,36.4129,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_141.txt
37,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_142.pdf,5,40.062,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_142.txt
38,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_143.pdf,5,39.5461,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_143.txt
39,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_144.pdf,5,40.6321,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_144.txt
40,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_145.pdf,5,39.5072,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_145.txt
41,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_146.pdf,5,42.5264,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_146.txt
42,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_147.pdf,5,42.7189,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_147.txt
43,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_148.pdf,5,40.8961,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_148.txt
44,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_149.pdf,5,43.1302,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_149.txt
45,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_15.pdf,5,33.9261,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_15.txt
46,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_150.pdf,5,33.6829,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_150.txt
47,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_151.pdf,5,34.0735,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_151.txt
48,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_152.pdf,5,34.7874,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_152.txt
49,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_153.pdf,5,35.0752,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_153.txt
50,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_154.pdf,5,36.2286,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_154.txt
51,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_155.pdf,5,36.4717,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_155.txt
52,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_156.pdf,5,38.5016,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_156.txt
53,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_157.pdf,5,2025.8537,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_157.txt
54,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_158.pdf,5,51.6802,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_158.txt
55,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_159.pdf,5,52.9238,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_159.txt
56,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_16.pdf,5,53.2326,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_16.txt
57,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_160.pdf,5,54.5268,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_160.txt
58,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_161.pdf,5,71.7129,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_161.txt
